company,open,high,low,LTP,Volume,Turnover,52w H,52w L
ADANIPORTS,750,766,713.25,715,72.2,532.63,901,384.4
ASIANPAINT,3101,3167.35,3091,3138,10.29,322.53,3505,2117.15
AXISBANK,669,674.9,660.45,661,102.53,684,866.9,568.4
BAJAJ-AUTO,3370,3383.5,3320,3335,3.42,114.59,4361.4,3041
BAJAJFINSV,17200,17237.2,16610,16684,3.42,576.79,19325,8273.7
BAJFINANCE,7021,7047.9,6775,6780,16.89,1161.63,8050,4362
BHARTIARTL,763,763,733.1,735.85,111.43,830.06,781.8,454.11
BPCL,397.15,397.2,375,377.4,100.23,383.54,503,357
BRITANNIA,3560,3635.1,3533.95,3566.6,3.73,133.23,4153,3317.3
CIPLA,892,976.05,890.65,965,144.59,1380.9,1005,726.5
COALINDIA,157.75,159.4,155.35,155.9,118.3,185.5,203.8,123.25
DIVISLAB,4770,5077.7,4756.75,4940,15.71,775.37,5425.1,3153.3
DRREDDY,4580,4820,4576.15,4750,10.72,508.97,5614.6,4135
EICHERMOT,2495,2506.1,2421.5,2440.75,5.55,136.56,3037,2303.7
GRASIM,1757.3,1757.85,1679,1685.8,7.48,127.84,1893,840.05
HCLTECH,1120,1126,1103.3,1111.65,22.07,246.06,1377.75,814.35
HDFC,2820.35,2856,2723,2745,33.53,927.88,3021.1,2179.3
HDFCBANK,1500,1506.7,1485,1489.5,93.12,1394.1,1725,1342
HDFCLIFE,685,689,667.1,669.75,22.37,151.4,775.65,617.4
HEROMOTOCO,2580,2589.7,2505.15,2526.8,6.85,174.04,3629.05,2505.15
HINDALCO,441.8,442.7,414.7,417.7,148.26,631.93,551.85,220.35
HINDUNILVR,2344,2365,2325.2,2340.9,24.51,572.85,2859.3,2120
ICICIBANK,739,742.05,718.6,720.45,189.88,1385.86,867,465.8
INDUSINDBK,951,956.95,898,899.95,67.46,622.74,1242,789
INFY,1702.55,1718.35,1684,1689.55,44.94,764.67,1848,1091
IOC,125.6,125.6,120.5,121.15,77.25,94.57,141.5,84
ITC,228.9,230.05,223.1,223.6,270.27,610.54,265.3,192.4
JSWSTEEL,668.25,672.55,624.25,630,89.22,574.61,776.5,336
KOTAKBANK,2002,2007,1955.1,1960,26.48,522.52,2253,1626
LT,1820,1841.75,1768.6,1781,27.97,502.81,1981.75,1092
M&M,885,885,843,855.05,39.34,338.08,979,660.25
MARUTI,7520,7520,7130,7150,11.55,840.81,8368,6400
NESTLEIND,19148.85,19434.1,18982.5,19250,0.56,108.61,20609.15,16002.1
NTPC,133.2,134.05,128,128.65,133.24,173.94,152.1,88.15
ONGC,152.25,152.25,146.25,147.75,231.36,344.33,172.75,77.05
POWERGRID,204.05,204.95,200.8,202.5,96.11,195.09,209.95,136.88
RELIANCE,2467.8,2477.6,2401.5,2405.1,72.75,1770.19,2751.35,1830
SBILIFE,1154,1154,1105.25,1130.85,23.16,262.43,1273.9,825.2
SBIN,486.25,487.9,467.1,470,263.06,1249.55,542.3,240.15
SHREECEM,26450,26539.9,25812,25900,0.3,76.94,32048,22531
SUNPHARMA,775,798.9,762,767.25,54.33,424.05,851,502.3
TATACONSUM,800.2,805,763.15,769.9,26.17,203.32,889,505.05
TATAMOTORS,486,486.75,458,459.4,517.88,2430.36,536.7,156.7
TATASTEEL,1157.9,1159.5,1106.25,1110.25,106.46,1200.79,1534.5,539.5
TCS,3425,3490,3411.9,3439.2,19.41,670.58,3989.9,2624.45
TECHM,1544,1550,1510.15,1519,15.22,232.97,1630,846.7
TITAN,2377.8,2385.1,2285.05,2293,12.89,298.54,2677.9,1300.35
ULTRACEMCO,7550,7599,7370.1,7398.45,2.66,198.32,8269,4770
UPL,726,726,701,703.5,24.82,176.35,864.7,414.15
WIPRO,632,634.4,619.65,621.3,41.39,259.37,739.85,346.25
